Date 	 Name 	 ID 	 Gender 	 Appearance 	 Trial 	 Block 	 Bin 	 Condition 	 Category 	 Number 	 Valid 	 Keypress 	 Correct 	 RT 	 Realcorrect 	 Deadline 	 Timeout 	 Stimtrigger 	 Resptrigger 	 Fedtrigger 	WithinTime
9-Apr-13	sub2304	2304	1	0	1	1	1	4	5	2	0	1	1	0.32541	0	0.6	0	14	44	39	0
9-Apr-13	sub2304	2304	1	0	2	1	1	2	6	1	1	1	0	0.22076	0	0.3	0	12	40	41	0
9-Apr-13	sub2304	2304	1	0	3	1	1	6	3	3	1	2	1	0.06294	1	0.3	0	16	35	36	0
9-Apr-13	sub2304	2304	1	0	4	1	1	2	6	1	1	1	0	0.12365	0	0.3	0	12	40	41	0
9-Apr-13	sub2304	2304	1	0	5	1	1	2	6	1	1	2	1	0.04554	1	0.3	0	12	30	31	0
9-Apr-13	sub2304	2304	1	0	6	1	1	4	5	2	1	2	1	0.05111	1	0.3	0	14	32	33	0
9-Apr-13	sub2304	2304	1	0	7	1	1	3	1	1	1	1	1	0.43998	1	0.3	1	13	32	51	0
9-Apr-13	sub2304	2304	1	0	8	1	1	4	5	2	1	2	1	0.40404	1	0.9	0	14	32	33	0
9-Apr-13	sub2304	2304	1	0	9	1	1	4	5	2	1	1	0	0.2703	0	0.9	0	14	42	43	0
9-Apr-13	sub2304	2304	1	0	10	1	1	2	6	1	1	2	1	0.38584	1	0.9	0	12	30	31	0
9-Apr-13	sub2304	2304	1	0	11	1	1	5	4	2	1	1	1	0.48294	1	0.9	0	15	35	36	0
9-Apr-13	sub2304	2304	1	0	12	1	1	3	1	1	1	2	0	0.01191	0	0.9	0	13	42	43	0
9-Apr-13	sub2304	2304	1	0	13	1	1	6	3	3	1	1	0	0.10785	0	0.9	0	16	45	46	0
9-Apr-13	sub2304	2304	1	0	14	1	1	2	6	1	1	2	1	0.13026	1	0.9	0	12	30	31	0
9-Apr-13	sub2304	2304	1	0	15	1	1	5	4	2	0	1	0	0.1063	1	0.9	0	15	37	48	0
9-Apr-13	sub2304	2304	1	0	16	1	1	1	2	1	1	2	0	0.08065	0	0.8	0	11	40	41	0
9-Apr-13	sub2304	2304	1	0	17	1	1	3	1	1	1	1	1	0.46739	1	0.8	0	13	32	33	0
9-Apr-13	sub2304	2304	1	0	18	1	1	2	6	1	1	2	1	0.0566	1	0.7	0	12	30	31	0
9-Apr-13	sub2304	2304	1	0	19	1	1	3	1	1	0	1	0	0.48602	1	0.7	0	13	34	49	0
9-Apr-13	sub2304	2304	1	0	20	1	1	3	1	1	0	2	1	0.0603	0	0.7	0	13	44	39	0
9-Apr-13	sub2304	2304	1	0	21	1	1	3	1	1	1	2	0	0.49369	0	0.6	0	13	42	43	0
9-Apr-13	sub2304	2304	1	0	22	1	1	6	3	3	0	1	1	0.01746	0	0.6	0	16	47	38	0
9-Apr-13	sub2304	2304	1	0	23	1	1	5	4	2	1	1	1	0.17547	1	0.6	0	15	35	36	0
9-Apr-13	sub2304	2304	1	0	24	1	1	3	1	1	1	1	1	0.02949	1	0.6	0	13	32	33	0
9-Apr-13	sub2304	2304	1	0	25	1	1	1	2	1	1	2	0	0.48756	0	0.6	0	11	40	41	0
9-Apr-13	sub2304	2304	1	0	26	1	1	5	4	2	0	1	0	0.36365	1	0.5	0	15	37	48	0
9-Apr-13	sub2304	2304	1	0	27	1	1	6	3	3	1	2	1	0.30837	1	0.5	0	16	35	36	0
9-Apr-13	sub2304	2304	1	0	28	1	1	5	4	2	0	1	0	0.05874	1	0.5	0	15	37	48	0
9-Apr-13	sub2304	2304	1	0	29	1	1	1	2	1	1	1	1	0.46372	1	0.5	0	11	30	31	0
9-Apr-13	sub2304	2304	1	0	30	1	1	2	6	1	1	2	1	0.03104	1	0.5	0	12	30	31	0
9-Apr-13	sub2304	2304	1	0	31	1	1	1	2	1	1	1	1	0.15856	1	0.5	0	11	30	31	0
9-Apr-13	sub2304	2304	1	0	32	1	1	3	1	1	1	1	1	0.01947	1	0.5	0	13	32	33	0
9-Apr-13	sub2304	2304	1	0	33	1	1	2	6	1	1	2	1	0.00645	1	0.5	0	12	30	31	0
9-Apr-13	sub2304	2304	1	0	34	1	1	1	2	1	1	1	1	0.02751	1	0.5	0	11	30	31	0
9-Apr-13	sub2304	2304	1	0	35	1	1	4	5	2	1	2	1	0.07401	1	0.4	0	14	32	33	0
9-Apr-13	sub2304	2304	1	0	36	1	1	2	6	1	1	1	0	0.46024	0	0.4	1	12	40	51	0
9-Apr-13	sub2304	2304	1	0	37	1	1	3	1	1	0	2	1	0.34853	0	0.7	0	13	44	39	0
9-Apr-13	sub2304	2304	1	0	38	1	1	3	1	1	1	2	0	0.48913	0	0.7	0	13	42	43	0
9-Apr-13	sub2304	2304	1	0	39	1	1	1	2	1	1	1	1	0.22158	1	0.7	0	11	30	31	0
9-Apr-13	sub2304	2304	1	0	40	1	1	6	3	3	0	1	1	0.01005	0	0.7	0	16	47	38	0
9-Apr-13	sub2304	2304	1	0	41	1	1	1	2	1	1	1	1	0.01349	1	0.6	0	11	30	31	0
9-Apr-13	sub2304	2304	1	0	42	1	1	2	6	1	1	1	0	0.39694	0	0.6	0	12	40	41	0
9-Apr-13	sub2304	2304	1	0	43	1	1	5	4	2	1	2	0	0.43976	0	0.6	0	15	45	46	0
9-Apr-13	sub2304	2304	1	0	44	1	1	4	5	2	1	1	0	0.39504	0	0.6	0	14	42	43	0
9-Apr-13	sub2304	2304	1	0	45	1	1	2	6	1	1	1	0	0.36513	0	0.6	0	12	40	41	0
9-Apr-13	sub2304	2304	1	0	46	1	1	5	4	2	1	1	1	0.02797	1	0.6	0	15	35	36	0
9-Apr-13	sub2304	2304	1	0	47	1	1	5	4	2	1	1	1	0.078	1	0.6	0	15	35	36	0
