Date 	 Name 	 ID 	 Gender 	 Appearance 	 Trial 	 Block 	 Bin 	 Condition 	 Category 	 Number 	 Valid 	 Keypress 	 Correct 	 RT 	 Realcorrect 	 Deadline 	 Timeout 	 Stimtrigger 	 Resptrigger 	 Fedtrigger 	WithinTime
10-Apr-13	sub2306	2306	2	1	1	1	1	2	1	4	1	0	0	0	0	0.6	1	12	0	51	0
10-Apr-13	sub2306	2306	2	1	2	1	1	6	3	5	0	1	1	0.00593	0	0.9	0	16	47	38	0
10-Apr-13	sub2306	2306	2	1	3	1	1	1	4	5	1	1	1	0.49514	1	0.9	0	11	30	31	0
10-Apr-13	sub2306	2306	2	1	4	1	1	2	1	4	1	2	1	0.45036	1	0.9	0	12	30	31	0
10-Apr-13	sub2306	2306	2	1	5	1	1	6	3	5	0	1	1	0.37393	0	0.9	0	16	47	38	0
10-Apr-13	sub2306	2306	2	1	6	1	1	6	3	5	0	1	1	0.49918	0	0.9	0	16	47	38	0
10-Apr-13	sub2306	2306	2	1	7	1	1	3	6	1	1	2	0	0.47625	0	0.9	0	13	42	43	0
10-Apr-13	sub2306	2306	2	1	8	1	1	6	3	5	1	1	0	0.10164	0	0.9	0	16	45	46	0
10-Apr-13	sub2306	2306	2	1	9	1	1	5	2	6	0	2	1	0.13611	0	0.9	0	15	47	38	0
10-Apr-13	sub2306	2306	2	1	10	1	1	6	3	5	0	1	1	0.42821	0	0.9	0	16	47	38	0
10-Apr-13	sub2306	2306	2	1	11	1	1	2	1	4	1	2	1	0.08322	1	0.9	0	12	30	31	0
10-Apr-13	sub2306	2306	2	1	12	1	1	2	1	4	1	2	1	0.48143	1	0.9	0	12	30	31	0
10-Apr-13	sub2306	2306	2	1	13	1	1	5	2	6	1	1	1	0.15681	1	0.9	0	15	35	36	0
10-Apr-13	sub2306	2306	2	1	14	1	1	1	4	5	1	2	0	0.06616	0	0.9	0	11	40	41	0
10-Apr-13	sub2306	2306	2	1	15	1	1	1	4	5	1	1	1	0.02075	1	0.9	0	11	30	31	0
10-Apr-13	sub2306	2306	2	1	16	1	1	6	3	5	0	1	1	0.49376	0	0.8	0	16	47	38	0
10-Apr-13	sub2306	2306	2	1	17	1	1	2	1	4	1	2	1	0.42989	1	0.8	0	12	30	31	0
10-Apr-13	sub2306	2306	2	1	18	1	1	1	4	5	1	1	1	0.1438	1	0.7	0	11	30	31	0
10-Apr-13	sub2306	2306	2	1	19	1	1	4	5	1	1	2	1	0.13457	1	0.7	0	14	32	33	0
10-Apr-13	sub2306	2306	2	1	20	1	1	5	2	6	1	1	1	0.38854	1	0.7	0	15	35	36	0
10-Apr-13	sub2306	2306	2	1	21	1	1	4	5	1	1	2	1	0.02567	1	0.6	0	14	32	33	0
10-Apr-13	sub2306	2306	2	1	22	1	1	6	3	5	1	1	0	0.39699	0	0.6	0	16	45	46	0
10-Apr-13	sub2306	2306	2	1	23	1	1	6	3	5	1	1	0	0.43148	0	0.6	0	16	45	46	0
10-Apr-13	sub2306	2306	2	1	24	1	1	2	1	4	1	2	1	0.49238	1	0.6	0	12	30	31	0
10-Apr-13	sub2306	2306	2	1	25	1	1	2	1	4	1	2	1	0.34036	1	0.6	0	12	30	31	0
10-Apr-13	sub2306	2306	2	1	26	1	1	3	6	1	0	2	1	0.49778	0	0.5	0	13	44	39	0
10-Apr-13	sub2306	2306	2	1	27	1	1	3	6	1	0	2	1	0.42162	0	0.5	0	13	44	39	0
10-Apr-13	sub2306	2306	2	1	28	1	1	6	3	5	1	1	0	0.46144	0	0.5	0	16	45	46	0
10-Apr-13	sub2306	2306	2	1	29	1	1	2	1	4	1	2	1	0.44421	1	0.5	0	12	30	31	0
10-Apr-13	sub2306	2306	2	1	30	1	1	6	3	5	0	2	0	0.0823	1	0.5	0	16	37	48	0
10-Apr-13	sub2306	2306	2	1	31	1	1	5	2	6	0	2	1	0.04266	0	0.5	0	15	47	38	0
10-Apr-13	sub2306	2306	2	1	32	1	1	4	5	1	1	1	0	0.46687	0	0.5	0	14	42	43	0
10-Apr-13	sub2306	2306	2	1	33	1	1	5	2	6	0	2	1	0.40285	0	0.5	0	15	47	38	0
10-Apr-13	sub2306	2306	2	1	34	1	1	4	5	1	1	2	1	0.38169	1	0.5	0	14	32	33	0
10-Apr-13	sub2306	2306	2	1	35	1	1	4	5	1	0	2	0	0.38795	1	0.4	0	14	34	49	0
10-Apr-13	sub2306	2306	2	1	36	1	1	4	5	1	1	2	1	0.44587	1	0.4	1	14	32	51	0
10-Apr-13	sub2306	2306	2	1	37	1	1	2	1	4	1	2	1	0.37594	1	0.7	0	12	30	31	0
10-Apr-13	sub2306	2306	2	1	38	1	1	6	3	5	1	1	0	0.05344	0	0.7	0	16	45	46	0
10-Apr-13	sub2306	2306	2	1	39	1	1	3	6	1	1	2	0	0.4609	0	0.7	0	13	42	43	0
10-Apr-13	sub2306	2306	2	1	40	1	1	5	2	6	0	2	1	0.3742	0	0.7	0	15	47	38	0
10-Apr-13	sub2306	2306	2	1	41	1	1	3	6	1	1	2	0	0.3883	0	0.6	0	13	42	43	0
10-Apr-13	sub2306	2306	2	1	42	1	1	1	4	5	1	1	1	0.09819	1	0.6	0	11	30	31	0
10-Apr-13	sub2306	2306	2	1	43	1	1	1	4	5	1	1	1	0.00519	1	0.6	0	11	30	31	0
10-Apr-13	sub2306	2306	2	1	44	1	1	5	2	6	1	2	0	0.36263	0	0.6	0	15	45	46	0
10-Apr-13	sub2306	2306	2	1	45	1	1	2	1	4	1	2	1	0.38517	1	0.6	0	12	30	31	0
10-Apr-13	sub2306	2306	2	1	46	1	1	3	6	1	1	2	0	0.42617	0	0.6	0	13	42	43	0
10-Apr-13	sub2306	2306	2	1	47	1	1	4	5	1	1	2	1	0.49267	1	0.6	0	14	32	33	0
10-Apr-13	sub2306	2306	2	1	48	1	1	3	6	1	1	2	0	0.02209	0	0.6	0	13	42	43	0
10-Apr-13	sub2306	2306	2	1	49	1	1	1	4	5	1	1	1	0.0472	1	0.6	0	11	30	31	0
10-Apr-13	sub2306	2306	2	1	50	1	1	2	1	4	1	2	1	0.43825	1	0.6	0	12	30	31	0
10-Apr-13	sub2306	2306	2	1	51	1	1	4	5	1	0	2	0	0.49169	1	0.5	0	14	34	49	0
10-Apr-13	sub2306	2306	2	1	52	1	1	1	4	5	1	1	1	0.07573	1	0.5	0	11	30	31	0
10-Apr-13	sub2306	2306	2	1	53	1	1	3	6	1	1	1	1	0.44201	1	0.5	0	13	32	33	0
10-Apr-13	sub2306	2306	2	1	54	1	1	4	5	1	1	1	0	0.38773	0	0.5	0	14	42	43	0
10-Apr-13	sub2306	2306	2	1	55	1	1	2	1	4	1	2	1	0.43842	1	0.5	0	12	30	31	0
10-Apr-13	sub2306	2306	2	1	56	1	1	3	6	1	1	2	0	0.4087	0	0.5	0	13	42	43	0
10-Apr-13	sub2306	2306	2	1	57	1	1	3	6	1	0	1	0	0.46921	1	0.5	0	13	34	49	0
10-Apr-13	sub2306	2306	2	1	58	1	1	6	3	5	0	1	1	0.01348	0	0.5	0	16	47	38	0
10-Apr-13	sub2306	2306	2	1	59	1	1	1	4	5	1	2	0	0.1386	0	0.5	0	11	40	41	0
10-Apr-13	sub2306	2306	2	1	60	1	1	5	2	6	1	2	0	0.49864	0	0.5	0	15	45	46	0
10-Apr-13	sub2306	2306	2	1	61	1	1	5	2	6	1	2	0	0.48921	0	0.5	0	15	45	46	0
10-Apr-13	sub2306	2306	2	1	62	1	1	3	6	1	1	1	1	0.06719	1	0.5	0	13	32	33	0
10-Apr-13	sub2306	2306	2	1	63	1	1	5	2	6	0	1	0	0.011	1	0.5	0	15	37	48	0
10-Apr-13	sub2306	2306	2	1	64	1	1	2	1	4	1	2	1	0.38359	1	0.5	0	12	30	31	0
10-Apr-13	sub2306	2306	2	1	65	1	1	1	4	5	1	1	1	0.47942	1	0.5	0	11	30	31	0
10-Apr-13	sub2306	2306	2	1	66	1	1	5	2	6	1	2	0	0.36533	0	0.5	0	15	45	46	0
10-Apr-13	sub2306	2306	2	1	67	1	1	4	5	1	1	2	1	0.39074	1	0.5	0	14	32	33	0
10-Apr-13	sub2306	2306	2	1	68	1	1	4	5	1	1	2	1	0.42076	1	0.4	1	14	32	51	0
10-Apr-13	sub2306	2306	2	1	69	1	1	6	3	5	1	1	0	0.47213	0	0.6	0	16	45	46	0
