Date 	 Name 	 ID 	 Gender 	 Appearance 	 Trial 	 Block 	 Bin 	 Condition 	 Category 	 Number 	 Valid 	 Keypress 	 Correct 	 RT 	 Realcorrect 	 Deadline 	 Timeout 	 Stimtrigger 	 Resptrigger 	 Fedtrigger 	 WithinTime 	 
19-Apr-2013	sub2318	2318	  2	  1	  1	  1	  1	  3	  6	  6	  1	  1	  1	30.03626	  1	0.60000	  1	 13	 32	 51	  0	
19-Apr-2013	sub2318	2318	  2	  1	  2	  1	  1	  5	  5	  6	  1	  1	  1	0.64511	  1	0.90000	  0	 15	 35	 36	  0	
19-Apr-2013	sub2318	2318	  2	  1	  3	  1	  1	  1	  1	  1	  1	  1	  1	0.31664	  1	0.90000	  0	 11	 30	 31	  1	
19-Apr-2013	sub2318	2318	  2	  1	  4	  1	  1	  5	  5	  6	  0	  1	  0	0.25078	  1	0.90000	  0	 15	 37	 48	  1	
19-Apr-2013	sub2318	2318	  2	  1	  5	  1	  1	  2	  2	  2	  1	  1	  0	0.38698	  0	0.90000	  0	 12	 40	 41	  1	
19-Apr-2013	sub2318	2318	  2	  1	  6	  1	  1	  4	  4	  1	  1	  1	  0	0.37236	  0	0.90000	  0	 14	 42	 43	  1	
19-Apr-2013	sub2318	2318	  2	  1	  7	  1	  1	  6	  3	  1	  0	  1	  1	0.28668	  0	0.90000	  0	 16	 47	 38	  1	
19-Apr-2013	sub2318	2318	  2	  1	  8	  1	  1	  3	  6	  6	  1	  1	  1	0.34309	  1	0.90000	  0	 13	 32	 33	  1	
19-Apr-2013	sub2318	2318	  2	  1	  9	  1	  1	  1	  1	  1	  1	  1	  1	0.28298	  1	0.90000	  0	 11	 30	 31	  1	
19-Apr-2013	sub2318	2318	  2	  1	 10	  1	  1	  2	  2	  2	  1	  1	  0	0.33988	  0	0.90000	  0	 12	 40	 41	  1	
19-Apr-2013	sub2318	2318	  2	  1	 11	  1	  1	  6	  3	  1	  0	  1	  1	0.39849	  0	0.90000	  0	 16	 47	 38	  1	
19-Apr-2013	sub2318	2318	  2	  1	 12	  1	  1	  1	  1	  1	  1	  1	  1	0.36022	  1	0.90000	  0	 11	 30	 31	  1	
19-Apr-2013	sub2318	2318	  2	  1	 13	  1	  1	  4	  4	  1	  1	  1	  0	0.36097	  0	0.90000	  0	 14	 42	 43	  1	
19-Apr-2013	sub2318	2318	  2	  1	 14	  1	  1	  6	  3	  1	  0	  1	  1	0.46797	  0	0.90000	  0	 16	 47	 38	  1	
19-Apr-2013	sub2318	2318	  2	  1	 15	  1	  1	  2	  2	  2	  1	  1	  0	0.37156	  0	0.90000	  0	 12	 40	 41	  1	
19-Apr-2013	sub2318	2318	  2	  1	 16	  1	  1	  4	  4	  1	  0	  1	  1	0.44930	  0	0.80000	  0	 14	 44	 39	  1	
19-Apr-2013	sub2318	2318	  2	  1	 17	  1	  1	  4	  4	  1	  1	  2	  1	0.48966	  1	0.80000	  0	 14	 32	 33	  1	
19-Apr-2013	sub2318	2318	  2	  1	 18	  1	  1	  6	  3	  1	  1	  1	  0	0.34779	  0	0.70000	  0	 16	 45	 46	  1	
19-Apr-2013	sub2318	2318	  2	  1	 19	  1	  1	  1	  1	  1	  1	  1	  1	0.51138	  1	0.70000	  0	 11	 30	 31	  0	
19-Apr-2013	sub2318	2318	  2	  1	 20	  1	  1	  3	  6	  6	  1	  2	  0	0.62732	  0	0.70000	  0	 13	 42	 43	  0	
19-Apr-2013	sub2318	2318	  2	  1	 21	  1	  1	  1	  1	  1	  1	  1	  1	0.39387	  1	0.60000	  0	 11	 30	 31	  1	
19-Apr-2013	sub2318	2318	  2	  1	 22	  1	  1	  1	  1	  1	  1	  1	  1	0.41372	  1	0.60000	  0	 11	 30	 31	  1	
19-Apr-2013	sub2318	2318	  2	  1	 23	  1	  1	  1	  1	  1	  1	  1	  1	0.32937	  1	0.60000	  0	 11	 30	 31	  1	
19-Apr-2013	sub2318	2318	  2	  1	 24	  1	  1	  6	  3	  1	  1	  1	  0	0.43961	  0	0.60000	  0	 16	 45	 46	  1	
19-Apr-2013	sub2318	2318	  2	  1	 25	  1	  1	  3	  6	  6	  0	  1	  0	0.35378	  1	0.60000	  0	 13	 34	 49	  1	
19-Apr-2013	sub2318	2318	  2	  1	 26	  1	  1	  6	  3	  1	  1	  1	  0	0.35654	  0	0.50000	  0	 16	 45	 46	  1	
19-Apr-2013	sub2318	2318	  2	  1	 27	  1	  1	  6	  3	  1	  0	  1	  1	0.33445	  0	0.50000	  0	 16	 47	 38	  1	
19-Apr-2013	sub2318	2318	  2	  1	 28	  1	  1	  5	  5	  6	  1	  1	  1	0.25362	  1	0.50000	  0	 15	 35	 36	  1	
19-Apr-2013	sub2318	2318	  2	  1	 29	  1	  1	  2	  2	  2	  1	  1	  0	0.29232	  0	0.50000	  0	 12	 40	 41	  1	
19-Apr-2013	sub2318	2318	  2	  1	 30	  1	  1	  6	  3	  1	  0	  1	  1	0.42903	  0	0.50000	  0	 16	 47	 38	  1	
19-Apr-2013	sub2318	2318	  2	  1	 31	  1	  1	  1	  1	  1	  1	  1	  1	0.43640	  1	0.50000	  0	 11	 30	 31	  1	
19-Apr-2013	sub2318	2318	  2	  1	 32	  1	  1	  3	  6	  6	  0	  2	  1	0.70916	  0	0.50000	  1	 13	 44	 51	  0	
19-Apr-2013	sub2318	2318	  2	  1	 33	  1	  1	  4	  4	  1	  1	  1	  0	1.42834	  0	0.80000	  1	 14	 42	 51	  0	
19-Apr-2013	sub2318	2318	  2	  1	 34	  1	  1	  5	  5	  6	  1	  1	  1	0.23532	  1	0.90000	  0	 15	 35	 36	  1	
19-Apr-2013	sub2318	2318	  2	  1	 35	  1	  1	  5	  5	  6	  1	  1	  1	0.29994	  1	0.90000	  0	 15	 35	 36	  1	
19-Apr-2013	sub2318	2318	  2	  1	 36	  1	  1	  2	  2	  2	  1	  1	  0	0.27867	  0	0.90000	  0	 12	 40	 41	  1	
19-Apr-2013	sub2318	2318	  2	  1	 37	  1	  1	  5	  5	  6	  1	  2	  0	0.45171	  0	0.90000	  0	 15	 45	 46	  1	
19-Apr-2013	sub2318	2318	  2	  1	 38	  1	  1	  6	  3	  1	  0	  1	  1	0.37210	  0	0.90000	  0	 16	 47	 38	  1	
19-Apr-2013	sub2318	2318	  2	  1	 39	  1	  1	  2	  2	  2	  1	  1	  0	0.42551	  0	0.90000	  0	 12	 40	 41	  1	
19-Apr-2013	sub2318	2318	  2	  1	 40	  1	  1	  4	  4	  1	  0	  1	  1	0.63404	  0	0.90000	  0	 14	 44	 39	  0	
19-Apr-2013	sub2318	2318	  2	  1	 41	  1	  1	  5	  5	  6	  0	  1	  0	0.48711	  1	0.90000	  0	 15	 37	 48	  1	
19-Apr-2013	sub2318	2318	  2	  1	 42	  1	  1	  2	  2	  2	  1	  2	  1	0.46269	  1	0.90000	  0	 12	 30	 31	  1	
19-Apr-2013	sub2318	2318	  2	  1	 43	  1	  1	  5	  5	  6	  0	  2	  1	0.34581	  0	0.90000	  0	 15	 47	 38	  1	
19-Apr-2013	sub2318	2318	  2	  1	 44	  1	  1	  4	  4	  1	  1	  2	  1	0.49330	  1	0.80000	  0	 14	 32	 33	  1	
19-Apr-2013	sub2318	2318	  2	  1	 45	  1	  1	  3	  6	  6	  1	  1	  1	0.36873	  1	0.80000	  0	 13	 32	 33	  1	
19-Apr-2013	sub2318	2318	  2	  1	 46	  1	  1	  2	  2	  2	  1	  2	  1	0.43306	  1	0.80000	  0	 12	 30	 31	  1	
19-Apr-2013	sub2318	2318	  2	  1	 47	  1	  1	  4	  4	  1	  1	  2	  1	0.52145	  1	0.80000	  0	 14	 32	 33	  0	
19-Apr-2013	sub2318	2318	  2	  1	 48	  1	  1	  1	  1	  1	  1	  1	  1	0.49840	  1	0.80000	  0	 11	 30	 31	  1	
19-Apr-2013	sub2318	2318	  2	  1	 49	  1	  1	  6	  3	  1	  1	  1	  0	0.43227	  0	0.80000	  0	 16	 45	 46	  1	
19-Apr-2013	sub2318	2318	  2	  1	 50	  1	  1	  3	  6	  6	  0	  1	  0	0.37442	  1	0.80000	  0	 13	 34	 49	  1	
19-Apr-2013	sub2318	2318	  2	  1	 51	  1	  1	  1	  1	  1	  1	  1	  1	0.41476	  1	0.70000	  0	 11	 30	 31	  1	
19-Apr-2013	sub2318	2318	  2	  1	 52	  1	  1	  3	  6	  6	  1	  1	  1	0.37567	  1	0.70000	  0	 13	 32	 33	  1	
19-Apr-2013	sub2318	2318	  2	  1	 53	  1	  1	  2	  2	  2	  1	  1	  0	0.36121	  0	0.70000	  0	 12	 40	 41	  1	
19-Apr-2013	sub2318	2318	  2	  1	 54	  1	  1	  1	  1	  1	  1	  1	  1	0.38979	  1	0.70000	  0	 11	 30	 31	  1	
19-Apr-2013	sub2318	2318	  2	  1	 55	  1	  1	  1	  1	  1	  1	  1	  1	0.40759	  1	0.70000	  0	 11	 30	 31	  1	
19-Apr-2013	sub2318	2318	  2	  1	 56	  1	  1	  4	  4	  1	  1	  2	  1	0.49974	  1	0.70000	  0	 14	 32	 33	  1	
19-Apr-2013	sub2318	2318	  2	  1	 57	  1	  1	  5	  5	  6	  0	  2	  1	0.35394	  0	0.70000	  0	 15	 47	 38	  1	
19-Apr-2013	sub2318	2318	  2	  1	 58	  1	  1	  6	  3	  1	  1	  1	  0	0.39666	  0	0.70000	  0	 16	 45	 46	  1	
19-Apr-2013	sub2318	2318	  2	  1	 59	  1	  1	  3	  6	  6	  1	  1	  1	0.38730	  1	0.70000	  0	 13	 32	 33	  1	
19-Apr-2013	sub2318	2318	  2	  1	 60	  1	  1	  5	  5	  6	  0	  1	  0	0.48064	  1	0.70000	  0	 15	 37	 48	  1	
19-Apr-2013	sub2318	2318	  2	  1	 61	  1	  1	  5	  5	  6	  1	  2	  0	0.42819	  0	0.60000	  0	 15	 45	 46	  1	
19-Apr-2013	sub2318	2318	  2	  1	 62	  1	  1	  4	  4	  1	  1	  2	  1	0.51613	  1	0.60000	  0	 14	 32	 33	  0	
