"subid","block","cond","feedback","choice","trial_perC2","probab","delay","ACC"
2301,1,1,1,1,1,1,0,1
2301,1,1,1,1,2,1,3,1
2301,1,1,1,1,3,1,10,1
2301,1,1,1,1,4,1,4,1
2301,1,1,1,1,5,1,0,1
2301,1,1,1,1,6,1,17,1
2301,1,1,1,1,7,1,5,1
2301,1,1,1,1,8,1,1,1
2301,1,1,1,1,9,1,1,1
2301,1,1,1,1,10,1,1,1
2301,1,1,1,1,11,1,7,1
2301,1,1,1,1,12,1,0,1
2301,1,1,1,1,13,1,15,1
2301,1,1,1,1,14,1,1,1
2301,1,1,1,1,15,1,1,1
2301,1,1,1,1,16,1,4,1
2301,1,1,1,1,17,1,18,1
2301,1,1,1,1,18,1,11,1
2301,1,1,1,1,19,1,3,1
2301,1,1,1,1,20,1,2,1
2301,1,1,1,1,21,1,0,1
2301,1,1,1,1,22,1,1,1
2301,1,1,-1,2,23,1,7,0
2301,1,1,1,1,24,1,5,1
2301,1,1,1,1,25,1,3,1
2301,1,2,-1,1,1,1,0,0
2301,1,2,1,2,2,1,1,1
2301,1,2,1,2,3,1,0,1
2301,1,2,1,2,4,1,3,1
2301,1,2,-1,1,5,1,1,0
2301,1,2,-1,1,6,1,0,0
2301,1,2,1,2,7,1,0,1
2301,1,2,1,2,8,1,3,1
2301,1,2,1,2,9,1,0,1
2301,1,2,1,2,10,1,0,1
2301,1,2,-1,1,11,1,28,0
2301,1,2,-1,1,12,1,3,0
2301,1,2,1,2,13,1,5,1
2301,1,2,-1,1,14,1,1,0
2301,1,2,1,2,15,1,4,1
2301,1,2,1,2,16,1,8,1
2301,1,2,1,2,17,1,2,1
2301,1,2,1,2,18,1,4,1
2301,1,2,1,2,19,1,11,1
2301,1,2,1,2,20,1,0,1
2301,1,2,1,2,21,1,2,1
2301,1,2,1,2,22,1,6,1
2301,1,2,1,2,23,1,13,1
2301,1,2,1,2,24,1,5,1
2301,1,2,1,2,25,1,3,1
2301,1,3,1,2,1,2,1,0
2301,1,3,-1,2,2,2,1,0
2301,1,3,1,2,3,2,3,0
2301,1,3,-1,2,4,2,26,0
2301,1,3,-1,2,5,2,5,0
2301,1,3,-1,2,6,2,0,0
2301,1,3,1,2,7,2,4,0
2301,1,3,1,1,8,2,14,1
2301,1,3,-1,2,9,2,1,0
2301,1,3,1,1,10,2,1,1
2301,1,3,1,1,11,2,0,1
2301,1,3,1,1,12,2,1,1
2301,1,3,1,1,13,2,2,1
2301,1,3,1,1,14,2,10,1
2301,1,3,-1,2,15,2,5,0
2301,1,3,1,1,16,2,8,1
2301,1,3,1,2,17,2,7,0
2301,1,3,1,1,18,2,2,1
2301,1,3,-1,1,19,2,6,1
2301,1,3,-1,2,20,2,13,0
2301,1,3,-1,2,21,2,1,0
2301,1,3,1,1,22,2,0,1
2301,1,3,-1,2,23,2,3,0
2301,1,4,1,2,1,2,0,1
2301,1,4,-1,2,2,2,3,1
2301,1,4,1,2,3,2,5,1
2301,1,4,1,2,4,2,4,1
2301,1,4,-1,1,5,2,11,0
2301,1,4,1,2,6,2,7,1
2301,1,4,1,2,7,2,3,1
2301,1,4,1,1,8,2,4,0
2301,1,4,1,2,9,2,8,1
2301,1,4,1,2,10,2,1,1
2301,1,4,-1,1,11,2,6,0
2301,1,4,1,2,12,2,6,1
2301,1,4,-1,2,13,2,9,1
2301,1,4,1,2,14,2,11,1
2301,1,4,1,2,15,2,1,1
2301,1,4,1,2,16,2,1,1
2301,1,4,-1,2,17,2,2,1
2301,1,4,1,2,18,2,1,1
2301,1,4,1,2,19,2,3,1
2301,1,4,1,2,20,2,8,1
2301,1,4,1,2,21,2,2,1
2301,1,4,1,2,22,2,22,1
2301,1,4,1,2,23,2,3,1
2301,1,4,1,2,24,2,0,1
2301,1,4,-1,2,25,2,0,1
2301,1,5,1,1,1,3,0,1
2301,1,5,-1,1,2,3,0,1
2301,1,5,1,1,3,3,5,1
2301,1,5,-1,1,4,3,7,1
2301,1,5,-1,2,5,3,1,0
2301,1,5,1,1,6,3,9,1
2301,1,5,-1,1,7,3,0,1
2301,1,5,-1,1,8,3,2,1
2301,1,5,1,1,9,3,1,1
2301,1,5,1,1,10,3,9,1
2301,1,5,-1,2,11,3,3,0
2301,1,6,-1,1,1,3,0,0
2301,1,6,1,2,2,3,0,1
2301,1,6,1,1,3,3,10,0
2301,1,6,1,1,4,3,0,0
2301,1,6,-1,2,5,3,1,1
2301,1,6,1,2,6,3,1,1
2301,1,6,1,1,7,3,13,0
2301,1,6,1,1,8,3,7,0
2301,1,6,-1,1,9,3,0,0
2301,1,6,-1,1,10,3,2,0
2301,1,6,1,1,11,3,4,0
2301,1,6,-1,1,12,3,7,0
2301,1,6,-1,1,13,3,5,0
