"subid","block","cond","feedback","choice","trial_perC2","probab","delay","ACC"
2302,1,1,-1,2,1,1,0,0
2302,1,1,1,1,2,1,6,1
2302,1,1,-1,2,3,1,10,0
2302,1,1,-1,2,4,1,7,0
2302,1,1,-1,2,5,1,0,0
2302,1,1,1,1,6,1,3,1
2302,1,1,1,1,7,1,3,1
2302,1,1,1,1,8,1,1,1
2302,1,1,1,1,9,1,4,1
2302,1,1,-1,2,10,1,4,0
2302,1,1,1,1,11,1,5,1
2302,1,1,1,1,12,1,3,1
2302,1,1,-1,2,13,1,17,0
2302,1,1,1,1,14,1,12,1
2302,1,1,1,1,15,1,4,1
2302,1,1,-1,2,16,1,1,0
2302,1,1,1,1,17,1,5,1
2302,1,1,1,1,18,1,3,1
2302,1,1,1,1,19,1,5,1
2302,1,1,1,1,20,1,9,1
2302,1,1,-1,2,21,1,7,0
2302,1,1,1,1,22,1,3,1
2302,1,1,1,1,23,1,1,1
2302,1,1,1,1,24,1,0,1
2302,1,2,-1,1,1,1,0,0
2302,1,2,-1,1,2,1,1,0
2302,1,2,1,2,3,1,6,1
2302,1,2,1,2,4,1,0,1
2302,1,2,1,2,5,1,2,1
2302,1,2,1,2,6,1,1,1
2302,1,2,1,2,7,1,8,1
2302,1,2,1,2,8,1,8,1
2302,1,2,1,2,9,1,13,1
2302,1,2,1,2,10,1,3,1
2302,1,2,-1,1,11,1,3,0
2302,1,2,1,2,12,1,11,1
2302,1,2,1,2,13,1,6,1
2302,1,2,1,2,14,1,14,1
2302,1,2,1,2,15,1,0,1
2302,1,2,1,2,16,1,7,1
2302,1,2,1,2,17,1,9,1
2302,1,2,1,2,18,1,0,1
2302,1,2,1,2,19,1,7,1
2302,1,2,1,2,20,1,2,1
2302,1,2,1,2,21,1,1,1
2302,1,2,1,2,22,1,3,1
2302,1,2,1,2,23,1,3,1
2302,1,3,-1,1,1,2,3,1
2302,1,3,-1,2,2,2,1,0
2302,1,3,1,1,3,2,10,1
2302,1,3,-1,2,4,2,17,0
2302,1,3,-1,1,5,2,0,1
2302,1,3,-1,2,6,2,1,0
2302,1,3,-1,2,7,2,3,0
2302,1,3,1,2,8,2,14,0
2302,1,3,-1,2,9,2,0,0
2302,1,3,-1,2,10,2,1,0
2302,1,3,-1,2,11,2,2,0
2302,1,3,1,1,12,2,4,1
2302,1,3,-1,2,13,2,4,0
2302,1,3,-1,2,14,2,6,0
2302,1,3,-1,2,15,2,8,0
2302,1,3,1,2,16,2,3,0
2302,1,3,-1,2,17,2,2,0
2302,1,3,1,2,18,2,3,0
2302,1,3,-1,2,19,2,0,0
2302,1,3,1,1,20,2,18,1
2302,1,3,1,1,21,2,13,1
2302,1,3,1,1,22,2,0,1
2302,1,4,1,2,1,2,0,1
2302,1,4,-1,1,2,2,3,0
2302,1,4,-1,1,3,2,6,0
2302,1,4,1,2,4,2,2,1
2302,1,4,-1,2,5,2,0,1
2302,1,4,1,2,6,2,7,1
2302,1,4,1,2,7,2,4,1
2302,1,4,1,1,8,2,1,0
2302,1,4,-1,1,9,2,6,0
2302,1,4,1,2,10,2,7,1
2302,1,4,-1,1,11,2,7,0
2302,1,4,1,2,12,2,3,1
2302,1,4,1,2,13,2,15,1
2302,1,4,-1,2,14,2,2,1
2302,1,4,1,2,15,2,1,1
2302,1,4,-1,2,16,2,4,1
